gene	ID	chr	start	end	discription
PEX10	ENSG00000157911	1	2336236	2345236	peroxisomal biogenesis factor 10 
PLCH2	ENSG00000149527	1	2357419	2436969	phospholipase C, eta 2 
PANK4	ENSG00000157881	1	2439972	2458039	pantothenate kinase 4 
HES5	ENSG00000197921	1	2460184	2461684	hairy and enhancer of split 5 (Drosophila) 
TNFRSF14	ENSG00000157873	1	2487078	2496821	tumor necrosis factor receptor superfamily, member 14 
FAM213B	ENSG00000157870	1	2517930	2522908	family with sequence similarity 213, member B 
MMEL1	ENSG00000142606	1	2522078	2564481	membrane metallo-endopeptidase-like 1 
TTC34	ENSG00000215912	1	2567415	2718286	tetratricopeptide repeat domain 34 
ACTRT2	ENSG00000169717	1	2938046	2939465	actin-related protein T2 
PRDM16	ENSG00000142611	1	2985732	3355185	PR domain containing 16 
ARHGEF16	ENSG00000130762	1	3370990	3397677	Rho guanine nucleotide exchange factor (GEF) 16 
MEGF6	ENSG00000162591	1	3406484	3528059	multiple EGF-like-domains 6 
TPRG1L	ENSG00000158109	1	3541566	3546691	tumor protein p63 regulated 1-like 
WRAP73	ENSG00000116213	1	3547331	3569325	WD repeat containing, antisense to TP73 
TP73	ENSG00000078900	1	3569084	3652765	tumor protein p73 
CCDC27	ENSG00000162592	1	3668962	3688209	coiled-coil domain containing 27 
SMIM1	ENSG00000235169	1	3689352	3692546	small integral membrane protein 1 
LRRC47	ENSG00000130764	1	3696784	3713068	leucine rich repeat containing 47 
CEP104	ENSG00000116198	1	3728645	3773778	centrosomal protein 104kDa 
DFFB	ENSG00000169598	1	3773845	3801993	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) 
C1orf174	ENSG00000198912	1	3805689	3816857	chromosome 1 open reading frame 174 
AJAP1	ENSG00000196581	1	4714792	4852594	adherens junctions associated protein 1 
NPHP4	ENSG00000131697	1	5922871	6052533	nephronophthisis 4 
KCNAB2	ENSG00000069424	1	6051526	6161253	potassium voltage-gated channel, shaker-related subfamily, beta member 2 
CHD5	ENSG00000116254	1	6161853	6240183	chromodomain helicase DNA binding protein 5 
RPL22	ENSG00000116251	1	6241329	6269449	ribosomal protein L22 
RNF207	ENSG00000158286	1	6265535	6281359	ring finger protein 207 
ICMT	ENSG00000116237	1	6281253	6296032	isoprenylcysteine carboxyl methyltransferase 
HES3	ENSG00000173673	1	6304252	6305638	hairy and enhancer of split 3 (Drosophila) 
GPR153	ENSG00000158292	1	6307406	6321035	G protein-coupled receptor 153 
ACOT7	ENSG00000097021	1	6324333	6454451	acyl-CoA thioesterase 7 
HES2	ENSG00000069812	1	6472478	6484730	hairy and enhancer of split 2 (Drosophila) 
ESPN	ENSG00000187017	1	6484848	6521430	espin 
TNFRSF25	ENSG00000215788	1	6521211	6526255	tumor necrosis factor receptor superfamily, member 25 
PLEKHG5	ENSG00000171680	1	6526152	6580121	pleckstrin homology domain containing, family G (with RhoGef domain) member 5 
NOL9	ENSG00000162408	1	6581407	6614595	nucleolar protein 9 
TAS1R1	ENSG00000173662	1	6615241	6639817	taste receptor, type 1, member 1 
ZBTB48	ENSG00000204859	1	6640061	6649340	zinc finger and BTB domain containing 48 
KLHL21	ENSG00000162413	1	6650784	6674667	kelch-like family member 21 
PHF13	ENSG00000116273	1	6673745	6684093	PHD finger protein 13 
THAP3	ENSG00000041988	1	6684926	6695646	THAP domain containing, apoptosis associated protein 3 
DNAJC11	ENSG00000007923	1	6694228	6761984	DnaJ (Hsp40) homolog, subfamily C, member 11 
CAMTA1	ENSG00000171735	1	6845384	7829766	calmodulin binding transcription activator 1 
VAMP3	ENSG00000049245	1	7831329	7841492	vesicle-associated membrane protein 3 
PER3	ENSG00000049246	1	7844380	7905237	period circadian clock 3 
UTS2	ENSG00000049247	1	7903143	7913572	urotensin 2 
TNFRSF9	ENSG00000049249	1	7979907	8000926	tumor necrosis factor receptor superfamily, member 9 
PARK7	ENSG00000116288	1	8014351	8045565	parkinson protein 7 
ERRFI1	ENSG00000116285	1	8064464	8086368	ERBB receptor feedback inhibitor 1 
SLC45A1	ENSG00000162426	1	8377886	8404227	solute carrier family 45, member 1 
RERE	ENSG00000142599	1	8412457	8877702	arginine-glutamic acid dipeptide (RE) repeats 
ENO1	ENSG00000074800	1	8921061	8939308	enolase 1, (alpha) 
CA6	ENSG00000131686	1	9005922	9035151	carbonic anhydrase VI 
SLC2A7	ENSG00000197241	1	9063359	9086404	solute carrier family 2 (facilitated glucose transporter), member 7 
SLC2A5	ENSG00000142583	1	9095166	9148537	solute carrier family 2 (facilitated glucose/fructose transporter), member 5 
GPR157	ENSG00000180758	1	9160364	9189229	G protein-coupled receptor 157 
H6PD	ENSG00000049239	1	9294834	9331396	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) 
SPSB1	ENSG00000171621	1	9352939	9429591	splA/ryanodine receptor domain and SOCS box containing 1 
SLC25A33	ENSG00000171612	1	9599541	9645237	solute carrier family 25 (pyrimidine nucleotide carrier), member 33 
TMEM201	ENSG00000188807	1	9648932	9674935	transmembrane protein 201 
PIK3CD	ENSG00000171608	1	9711790	9789172	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta 
C1orf200	ENSG00000179840	1	9712668	9714644	chromosome 1 open reading frame 200 
CLSTN1	ENSG00000171603	1	9789084	9884584	calsyntenin 1 
CTNNBIP1	ENSG00000178585	1	9908334	9970394	catenin, beta interacting protein 1 
LZIC	ENSG00000162441	1	9982173	10003465	leucine zipper and CTNNBIP1 domain containing 
NMNAT1	ENSG00000173614	1	10003486	10045559	nicotinamide nucleotide adenylyltransferase 1 
RBP7	ENSG00000162444	1	10057264	10076078	retinol binding protein 7, cellular 
UBE4B	ENSG00000130939	1	10092890	10241297	ubiquitination factor E4B 
KIF1B	ENSG00000054523	1	10270863	10441661	kinesin family member 1B 
PGD	ENSG00000142657	1	10458649	10480201	phosphogluconate dehydrogenase 
APITD1-CORT	ENSG00000251503	1	10490159	10512210	APITD1-CORT readthrough 
CORT	ENSG00000241563	1	10509776	10511959	cortistatin 
DFFA	ENSG00000160049	1	10516579	10532583	DNA fragmentation factor, 45kDa, alpha polypeptide 
PEX14	ENSG00000142655	1	10532345	10690815	peroxisomal biogenesis factor 14 
CASZ1	ENSG00000130940	1	10696661	10856707	castor zinc finger 1 
C1orf127	ENSG00000175262	1	11006528	11042094	chromosome 1 open reading frame 127 
TARDBP	ENSG00000120948	1	11072414	11085796	TAR DNA binding protein 
MASP2	ENSG00000009724	1	11086580	11107290	mannan-binding lectin serine peptidase 2 
SRM	ENSG00000116649	1	11114641	11120081	spermidine synthase 
EXOSC10	ENSG00000171824	1	11126675	11159938	exosome component 10 
MTOR	ENSG00000198793	1	11166592	11322564	mechanistic target of rapamycin (serine/threonine kinase) 
ANGPTL7	ENSG00000171819	1	11249398	11256038	angiopoietin-like 7 
UBIAD1	ENSG00000120942	1	11333263	11356106	UbiA prenyltransferase domain containing 1 
PTCHD2	ENSG00000204624	1	11539223	11597641	patched domain containing 2 
FBXO2	ENSG00000116661	1	11708424	11715842	F-box protein 2 
FBXO44	ENSG00000132879	1	11714432	11723384	F-box protein 44 
FBXO6	ENSG00000116663	1	11724181	11734411	F-box protein 6 
MAD2L2	ENSG00000116670	1	11734537	11751707	MAD2 mitotic arrest deficient-like 2 (yeast) 
DRAXIN	ENSG00000162490	1	11751786	11785914	dorsal inhibitory axon guidance protein 
AGTRAP	ENSG00000177674	1	11796141	11814859	angiotensin II receptor-associated protein 
C1orf167	ENSG00000215910	1	11821844	11849642	chromosome 1 open reading frame 167 
MTHFR	ENSG00000177000	1	11845780	11866977	methylenetetrahydrofolate reductase (NAD(P)H) 
CLCN6	ENSG00000011021	1	11866207	11903201	chloride channel, voltage-sensitive 6 
NPPA	ENSG00000175206	1	11905766	11908402	natriuretic peptide A 
NPPB	ENSG00000120937	1	11917521	11918988	natriuretic peptide B 
KIAA2013	ENSG00000116685	1	11979648	11986485	KIAA2013 
PLOD1	ENSG00000083444	1	11994262	12035595	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 
MFN2	ENSG00000116688	1	12040238	12073571	mitofusin 2 
MIIP	ENSG00000116691	1	12079523	12092102	migration and invasion inhibitory protein 
TNFRSF8	ENSG00000120949	1	12123434	12204264	tumor necrosis factor receptor superfamily, member 8 
TNFRSF1B	ENSG00000028137	1	12227060	12269285	tumor necrosis factor receptor superfamily, member 1B 
VPS13D	ENSG00000048707	1	12290124	12572099	vacuolar protein sorting 13 homolog D (S. cerevisiae) 
DHRS3	ENSG00000162496	1	12627939	12677737	dehydrogenase/reductase (SDR family) member 3 
AADACL4	ENSG00000204518	1	12704566	12727097	arylacetamide deacetylase-like 4 
AADACL3	ENSG00000188984	1	12776118	12788726	arylacetamide deacetylase-like 3 
C1orf158	ENSG00000157330	1	12806163	12823847	chromosome 1 open reading frame 158 
PRAMEF12	ENSG00000116726	1	12834984	12838049	PRAME family member 12 
PRAMEF1	ENSG00000116721	1	12851546	12856777	PRAME family member 1 
PRAMEF11	ENSG00000204513	1	12884468	12891264	PRAME family member 11 
HNRNPCL1	ENSG00000179172	1	12907261	12908578	heterogeneous nuclear ribonucleoprotein C-like 1 
PRAMEF2	ENSG00000120952	1	12916941	12921764	PRAME family member 2 
PRAMEF4	ENSG00000243073	1	12939045	12946025	PRAME family member 4 
PRAMEF10	ENSG00000187545	1	12952727	12958101	PRAME family member 10 
PRAMEF7	ENSG00000204510	1	12976450	12980569	PRAME family member 7 
PRAMEF6	ENSG00000232423	1	12998181	13117751	PRAME family member 6 
PRAMEF22	ENSG00000204508	1	13035543	13038381	PRAME family member 22 
PRAMEF3	ENSG00000204503	1	13328196	13331692	PRAME family member 3 
PRAMEF5	ENSG00000204502	1	13359819	13369057	PRAME family member 5 
PRAMEF8	ENSG00000182330	1	13386646	13390765	PRAME family member 8 
PRAMEF9	ENSG00000204501	1	13421176	13428191	PRAME family member 9 
PRAMEF13	ENSG00000204495	1	13447414	13452656	PRAME family member 13 
PRAMEF18	ENSG00000204491	1	13474689	13477522	PRAME family member 18 
PRAMEF16	ENSG00000204488	1	13495254	13498260	PRAME family member 16 
PRAMEF21	ENSG00000204486	1	13516066	13526943	PRAME family member 21 
PRAMEF15	ENSG00000157358	1	13641973	13648988	PRAME family member 15 
PRAMEF14	ENSG00000204481	1	13668269	13673511	PRAME family member 14 
PRAMEF19	ENSG00000204480	1	13694889	13698405	PRAME family member 19 
PRAMEF17	ENSG00000204479	1	13716092	13719089	PRAME family member 17 
PRAMEF20	ENSG00000204478	1	13736907	13747803	PRAME family member 20 
LRRC38	ENSG00000162494	1	13801445	13840543	leucine rich repeat containing 38 
PDPN	ENSG00000162493	1	13909960	13944452	podoplanin 
PRDM2	ENSG00000116731	1	14026693	14151574	PR domain containing 2, with ZNF domain 
KAZN	ENSG00000189337	1	14925200	15444539	kazrin, periplakin interacting protein 
TMEM51	ENSG00000171729	1	15479028	15546976	transmembrane protein 51 
C1orf195	ENSG00000204464	1	15490840	15497813	chromosome 1 open reading frame 195 
FHAD1	ENSG00000142621	1	15573768	15726858	forkhead-associated (FHA) phosphopeptide binding domain 1 
EFHD2	ENSG00000142634	1	15736391	15756839	EF-hand domain family, member D2 
CTRC	ENSG00000162438	1	15764935	15775737	chymotrypsin C (caldecrin) 
CELA2A	ENSG00000142615	1	15783223	15798586	chymotrypsin-like elastase family, member 2A 
CELA2B	ENSG00000215704	1	15792404	15817895	chymotrypsin-like elastase family, member 2B 
CASP9	ENSG00000132906	1	15817327	15853029	caspase 9, apoptosis-related cysteine peptidase 
DNAJC16	ENSG00000116138	1	15853308	15918874	DnaJ (Hsp40) homolog, subfamily C, member 16 
AGMAT	ENSG00000116771	1	15898848	15911605	agmatine ureohydrolase (agmatinase) 
DDI2	ENSG00000197312	1	15943995	15995539	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 
RSC1A1	ENSG00000215695	1	15986364	15988217	regulatory solute carrier protein, family 1, member 1 
PLEKHM2	ENSG00000116786	1	16010827	16061264	pleckstrin homology domain containing, family M (with RUN domain) member 2 
SLC25A34	ENSG00000162461	1	16062900	16067891	solute carrier family 25, member 34 
TMEM82	ENSG00000162460	1	16068917	16074477	transmembrane protein 82 
FBLIM1	ENSG00000162458	1	16083102	16113089	filamin binding LIM protein 1 
SPEN	ENSG00000065526	1	16174359	16266955	spen homolog, transcriptional regulator (Drosophila) 
ZBTB17	ENSG00000116809	1	16268364	16302627	zinc finger and BTB domain containing 17 
C1orf64	ENSG00000183888	1	16330731	16335302	chromosome 1 open reading frame 64 
HSPB7	ENSG00000173641	1	16340523	16346089	heat shock 27kDa protein family, member 7 (cardiovascular) 
CLCNKA	ENSG00000186510	1	16345370	16360545	chloride channel, voltage-sensitive Ka 
CLCNKB	ENSG00000184908	1	16370272	16383803	chloride channel, voltage-sensitive Kb 
FAM131C	ENSG00000185519	1	16384264	16400127	family with sequence similarity 131, member C 
EPHA2	ENSG00000142627	1	16450832	16482582	EPH receptor A2 
ARHGEF19	ENSG00000142632	1	16524349	16539140	Rho guanine nucleotide exchange factor (GEF) 19 
C1orf134	ENSG00000204377	1	16555368	16556038	chromosome 1 open reading frame 134 
RSG1	ENSG00000132881	1	16558195	16563657	REM2 and RAB-like small GTPase 1 
FBXO42	ENSG00000037637	1	16573334	16678949	F-box protein 42 
SZRD1	ENSG00000055070	1	16679070	16724640	SUZ RNA binding domain containing 1 
SPATA21	ENSG00000187144	1	16713612	16763919	spermatogenesis associated 21 
NECAP2	ENSG00000157191	1	16767167	16786573	NECAP endocytosis associated 2 
NBPF1	ENSG00000219481	1	16888814	16940057	neuroblastoma breakpoint family, member 1 
CROCC	ENSG00000058453	1	17066768	17299474	ciliary rootlet coiled-coil, rootletin 
MFAP2	ENSG00000117122	1	17300997	17307330	microfibrillar-associated protein 2 
ATP13A2	ENSG00000159363	1	17312453	17338423	ATPase type 13A2 
SDHB	ENSG00000117118	1	17345217	17380665	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) 
PADI2	ENSG00000117115	1	17393256	17445948	peptidyl arginine deiminase, type II 
PADI1	ENSG00000142623	1	17531621	17572500	peptidyl arginine deiminase, type I 
PADI3	ENSG00000142619	1	17575593	17610728	peptidyl arginine deiminase, type III 
PADI4	ENSG00000159339	1	17634690	17690499	peptidyl arginine deiminase, type IV 
RCC2	ENSG00000179051	1	17733256	17766220	regulator of chromosome condensation 2 
ARHGEF10L	ENSG00000074964	1	17866330	18024369	Rho guanine nucleotide exchange factor (GEF) 10-like 
ACTL8	ENSG00000117148	1	18081808	18153558	actin-like 8 
IGSF21	ENSG00000117154	1	18434240	18704977	immunoglobin superfamily, member 21 
KLHDC7A	ENSG00000179023	1	18807424	18812478	kelch domain containing 7A 
PAX7	ENSG00000009709	1	18957500	19075360	paired box 7 
TAS1R2	ENSG00000179002	1	19166093	19186176	taste receptor, type 1, member 2 
ALDH4A1	ENSG00000159423	1	19197926	19229275	aldehyde dehydrogenase 4 family, member A1 
IFFO2	ENSG00000169991	1	19230775	19283180	intermediate filament family orphan 2 
UBR4	ENSG00000127481	1	19401000	19536770	ubiquitin protein ligase E3 component n-recognin 4 
EMC1	ENSG00000127463	1	19542158	19578046	ER membrane protein complex subunit 1 
MRTO4	ENSG00000053372	1	19578033	19586622	mRNA turnover 4 homolog (S. cerevisiae) 
AKR7A3	ENSG00000162482	1	19609052	19615744	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) 
AKR7A2	ENSG00000053371	1	19630459	19638640	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) 
PQLC2	ENSG00000040487	1	19638820	19655794	PQ loop repeat containing 2 
CAPZB	ENSG00000077549	1	19665267	19812066	capping protein (actin filament) muscle Z-line, beta 
MINOS1-NBL1	ENSG00000270136	1	19923473	19984549	MINOS1-NBL1 readthrough 
MINOS1	ENSG00000173436	1	19923477	19956314	mitochondrial inner membrane organizing system 1 
NBL1	ENSG00000158747	1	19967048	19984945	neuroblastoma 1, DAN family BMP antagonist 
HTR6	ENSG00000158748	1	19991780	20006055	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled 
TMCO4	ENSG00000162542	1	20008706	20126438	transmembrane and coiled-coil domains 4 
RNF186	ENSG00000178828	1	20140523	20141771	ring finger protein 186 
OTUD3	ENSG00000169914	1	20209006	20239438	OTU domain containing 3 
PLA2G2E	ENSG00000188784	1	20246502	20250110	phospholipase A2, group IIE 
PLA2G2A	ENSG00000188257	1	20301925	20306932	phospholipase A2, group IIA (platelets, synovial fluid) 
PLA2G5	ENSG00000127472	1	20354672	20417683	phospholipase A2, group V 
PLA2G2D	ENSG00000117215	1	20438432	20446050	phospholipase A2, group IID 
PLA2G2F	ENSG00000158786	1	20465819	20476879	phospholipase A2, group IIF 
PLA2G2C	ENSG00000187980	1	20487746	20503917	phospholipase A2, group IIC 
UBXN10	ENSG00000162543	1	20512578	20522541	UBX domain protein 10 
VWA5B1	ENSG00000158816	1	20617412	20681387	von Willebrand factor A domain containing 5B1 
CAMK2N1	ENSG00000162545	1	20808884	20812713	calcium/calmodulin-dependent protein kinase II inhibitor 1 
MUL1	ENSG00000090432	1	20825943	20834654	mitochondrial E3 ubiquitin protein ligase 1 
FAM43B	ENSG00000183114	1	20878932	20881512	family with sequence similarity 43, member B 
CDA	ENSG00000158825	1	20915441	20945401	cytidine deaminase 
PINK1	ENSG00000158828	1	20959948	20978004	PTEN induced putative kinase 1 
DDOST	ENSG00000244038	1	20978270	20988000	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) 
KIF17	ENSG00000117245	1	20990507	21044510	kinesin family member 17 
SH2D5	ENSG00000189410	1	21046225	21059330	SH2 domain containing 5 
HP1BP3	ENSG00000127483	1	21069154	21113816	heterochromatin protein 1, binding protein 3 
EIF4G3	ENSG00000075151	1	21132963	21503377	eukaryotic translation initiation factor 4 gamma, 3 
ECE1	ENSG00000117298	1	21543740	21671997	endothelin converting enzyme 1 
NBPF3	ENSG00000142794	1	21766621	21811498	neuroblastoma breakpoint family, member 3 
ALPL	ENSG00000162551	1	21835858	21904905	alkaline phosphatase, liver/bone/kidney 
RAP1GAP	ENSG00000076864	1	21922708	21995801	RAP1 GTPase activating protein 
USP48	ENSG00000090686	1	22004791	22110099	ubiquitin specific peptidase 48 
LDLRAD2	ENSG00000187942	1	22138758	22151714	low density lipoprotein receptor class A domain containing 2 
HSPG2	ENSG00000142798	1	22148738	22263790	heparan sulfate proteoglycan 2 
CELA3B	ENSG00000219073	1	22303514	22325135	chymotrypsin-like elastase family, member 3B 
CELA3A	ENSG00000142789	1	22328149	22339032	chymotrypsin-like elastase family, member 3A 
CDC42	ENSG00000070831	1	22379120	22419437	cell division cycle 42 
WNT4	ENSG00000162552	1	22443798	22470462	wingless-type MMTV integration site family, member 4 
ZBTB40	ENSG00000184677	1	22778344	22857650	zinc finger and BTB domain containing 40 
EPHA8	ENSG00000070886	1	22890057	22930087	EPH receptor A8 
C1QA	ENSG00000173372	1	22962999	22966101	complement component 1, q subcomponent, A chain 
C1QC	ENSG00000159189	1	22970123	22974603	complement component 1, q subcomponent, C chain 
C1QB	ENSG00000173369	1	22979255	22988031	complement component 1, q subcomponent, B chain 
EPHB2	ENSG00000133216	1	23037332	23241818	EPH receptor B2 
LACTBL1	ENSG00000215906	1	23279536	23291831	lactamase, beta-like 1 
C1orf234	ENSG00000227868	1	23337327	23342343	chromosome 1 open reading frame 234 
KDM1A	ENSG00000004487	1	23345941	23410182	lysine (K)-specific demethylase 1A 
LUZP1	ENSG00000169641	1	23410516	23504301	leucine zipper protein 1 
HTR1D	ENSG00000179546	1	23516993	23521222	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled 
HNRNPR	ENSG00000125944	1	23630264	23670829	heterogeneous nuclear ribonucleoprotein R 
ZNF436	ENSG00000125945	1	23685941	23695935	zinc finger protein 436 
C1orf213	ENSG00000249087	1	23695490	23698332	chromosome 1 open reading frame 213 
TCEA3	ENSG00000204219	1	23707554	23751233	transcription elongation factor A (SII), 3 
ASAP3	ENSG00000088280	1	23755056	23810685	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 
E2F2	ENSG00000007968	1	23832922	23857712	E2F transcription factor 2 
ID3	ENSG00000117318	1	23884409	23886285	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein 
MDS2	ENSG00000197880	1	23907985	23967058	myelodysplastic syndrome 2 translocation associated 
RPL11	ENSG00000142676	1	24018269	24022915	ribosomal protein L11 
TCEB3	ENSG00000011007	1	24069645	24088549	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) 
PITHD1	ENSG00000057757	1	24104895	24114722	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 
LYPLA2	ENSG00000011009	1	24117460	24122029	lysophospholipase II 
GALE	ENSG00000117308	1	24122089	24127271	UDP-galactose-4-epimerase 
HMGCL	ENSG00000117305	1	24128375	24165110	3-hydroxymethyl-3-methylglutaryl-CoA lyase 
FUCA1	ENSG00000179163	1	24171567	24194784	fucosidase, alpha-L- 1, tissue 
CNR2	ENSG00000188822	1	24197016	24285549	cannabinoid receptor 2 (macrophage) 
PNRC2	ENSG00000189266	1	24285599	24289952	proline-rich nuclear receptor coactivator 2 
SRSF10	ENSG00000188529	1	24291294	24307417	serine/arginine-rich splicing factor 10 
MYOM3	ENSG00000142661	1	24382525	24438665	myomesin 3 
IL22RA1	ENSG00000142677	1	24446261	24469611	interleukin 22 receptor, alpha 1 
IFNLR1	ENSG00000185436	1	24480647	24514449	interferon, lambda receptor 1 
GRHL3	ENSG00000158055	1	24645812	24690972	grainyhead-like 3 (Drosophila) 
STPG1	ENSG00000001460	1	24683489	24743424	sperm-tail PG-rich repeat containing 1 
NIPAL3	ENSG00000001461	1	24742284	24799466	NIPA-like domain containing 3 
RCAN3	ENSG00000117602	1	24829387	24867530	RCAN family member 3 
NCMAP	ENSG00000184454	1	24882602	24935819	noncompact myelin associated protein 
SRRM1	ENSG00000133226	1	24958207	24999758	serine/arginine repetitive matrix 1 
CLIC4	ENSG00000169504	1	25071848	25170815	chloride intracellular channel 4 
RUNX3	ENSG00000020633	1	25226002	25291612	runt-related transcription factor 3 
SYF2	ENSG00000117614	1	25549170	25558993	SYF2 homolog, RNA splicing factor (S. cerevisiae) 
C1orf63	ENSG00000117616	1	25568728	25664704	chromosome 1 open reading frame 63 
RHD	ENSG00000187010	1	25598884	25656936	Rh blood group, D antigen 
TMEM50A	ENSG00000183726	1	25664408	25688852	transmembrane protein 50A 
RHCE	ENSG00000188672	1	25688740	25756683	Rh blood group, CcEe antigens 
TMEM57	ENSG00000204178	1	25757388	25826700	transmembrane protein 57 
LDLRAP1	ENSG00000157978	1	25870071	25895377	low density lipoprotein receptor adaptor protein 1 
